table_id;x_axis_rc_code;y_axis_rc_code
D_05.00;110;H49_32
F_25.01;30;100
C_118.00;150;x418_HK
C_114.00;170;x418_CA
F_23.03;130;200
C_32.02;50;180
C_07.00;110;100
F_18.00;910;214
D_05.00;120;C10_83
C_13.01;730;640
D_08.00;260;170
C_22.00;90;150
C_91.00;90;130
J_06.00;310;160
D_05.00;90;D35_22
C_35.03;30;140
D_05.00;20;C25_62
C_73.00;20;900
D_05.00;140;A1_61
F_15.00;100;93
D_07.00;100;250
C_120.02;100;x69_x50_x27
R_04.01;40;0010_0010
C_118.00;170;x417_BH
J_07.00;50;570
F_18.00;122;920
C_114.00;201;x414_SK
C_13.01;250;580
D_05.00;20;C17_21
C_75.01;80;720
C_32.02;20;200
C_07.00;90;90
C_74.00;40;240
C_75.01;100;1080
F_15.00;100;121
F_08.01;37;120
J_06.00;310;620
F_04.03.1;70;20
C_32.02;210;130
C_75.01;70;1160
C_74.00;130;130
R_01.00;10;20
C_13.01;160;330
C_13.01;860;610
M_05.00;90;x279_x629
F_18.00;70;520
F_04.03.1;90;10
C_13.01;330;670
D_05.00;140;G46_43
C_75.01;40;1770
C_114.00;160;x417_IR
C_74.00;130;333
D_05.00;30;F42_91
F_18.00;192;500
C_118.00;209;x419_NO
C_32.02;150;40
C_35.03;20;30
C_34.03;20;40
C_13.01;870;40
C_118.00;203;x414_AT
D_05.00;120;F43_12
C_114.00;190;x416_SN
C_75.01;40;1260
D_05.00;120;C19_2
J_07.00;60;290
J_06.00;290;640
C_75.01;100;1340
C_34.02;180;140
F_08.01;35;30
C_80.00;100;440
F_15.00;70;128
C_75.01;20;1050
F_23.03;40;170
F_23.02;30;180
C_17.01;100;770
C_05.01;30;90
C_34.05;120;30
D_05.00;130;C33_2
C_07.00;120;90
C_91.00;100;110
C_40.00;85;370
F_18.00;101;400
D_05.00;70;J59_14
D_05.00;130;H52_22
F_18.00;192;370
J_02.00;140;130
F_46.00;85;200
J_04.00;20;580
C_13.01;310;530
F_15.00;80;181
C_103.00;62;NULL
C_40.00;85;280
D_05.00;100;H52_24
F_11.04;30;20
C_114.00;150;x415_IR
F_18.00;180;500
C_75.01;40;180
C_75.01;90;1230
D_05.00;70;D35_22
C_75.01;40;1030
C_32.02;220;60
C_13.01;670;550
C_75.01;90;1150
D_05.00;50;G46_13
J_03.00;140;490
C_75.01;20;2320
D_05.00;30;A1_43
C_75.01;90;760
C_75.01;60;2250
C_74.00;160;287
D_05.00;70;F42_11
C_75.01;70;430
C_07.00;120;200
D_05.00;30;C19_2
C_66.01;10;410
C_13.01;170;560
J_03.00;150;390
D_05.00;40;G46_41
F_25.01;50;50
D_05.00;30;Q87_9
C_80.00;20;370
F_23.02;40;200
C_80.00;120;650
D_05.00;30;G45_19
C_16.00;80;30
C_29.00;310;NULL
C_13.01;870;630
D_05.00;130;G46_14
C_75.01;60;1910
F_08.01;40;310
D_05.00;90;G46_49
D_08.00;70;100
C_33.00;290;180
C_73.00;20;780
C_13.01;150;135
C_43.00;30;30
D_07.00;20;370
C_07.00;70;230
C_73.00;30;1000
D_07.00;50;350
C_21.00;50;22
C_17.01;100;260
D_05.00;110;K64_3
C_118.00;150;x418_CL
C_73.00;30;270
D_05.00;140;R91_01
C_81.00;70;130
C_66.01;10;90
C_13.01;660;570
F_23.03;160;50
D_09.02;140;40
D_09.01;70;160
J_02.00;40;640
C_40.00;70;230
J_05.00;40;170
C_114.00;170;x417_NC
F_18.00;140;212
C_75.01;80;2100
C_73.00;20;670
C_75.01;10;2810
F_04.03.1;50;10
J_06.00;40;330
C_16.00;40;20
C_13.01;90;560
F_18.00;109;214
D_07.00;90;400
C_81.00;70;150
D_05.00;30;A2_2
C_75.01;70;2550
C_22.00;60;240
C_13.01;860;230
F_25.02;60;120
F_25.01;10;70
J_03.00;130;50
D_05.00;110;G47_19
C_75.01;60;860
F_35.00;130;40
D_07.00;140;460
D_05.00;80;S95_25
C_66.01;10;680
C_118.00;202;x418_NO
C_34.02;130;110
C_24.00;130;20
C_82.00;90;320
C_75.01;20;2040
D_05.00;60;A2_2
C_05.02;20;30
C_13.01;10;380
D_05.00;20;C28_25
C_84.00;30;30
D_09.01;90;150
C_114.00;160;x415_TW
F_35.00;190;30
C_120.04;190;x10_x1286_x876_x15_x777
